Id,Labels
SA_TU_306,Positive
SA_TU_307,Neutral
SA_TU_308,Mixed
SA_TU_309,Positive
SA_TU_310,Mixed
SA_TU_311,Not Tulu
SA_TU_312,Positive
SA_TU_313,Not Tulu
SA_TU_314,Positive
SA_TU_315,Positive
SA_TU_316,Mixed
SA_TU_317,Mixed
SA_TU_318,Not Tulu
SA_TU_319,Positive
SA_TU_320,Not Tulu
SA_TU_321,Not Tulu
SA_TU_322,Neutral
SA_TU_323,Neutral
SA_TU_324,Not Tulu
SA_TU_325,Not Tulu
SA_TU_326,Positive
SA_TU_327,Not Tulu
SA_TU_328,Negative
SA_TU_329,Positive
SA_TU_330,Positive
SA_TU_331,Positive
SA_TU_332,Positive
SA_TU_333,Not Tulu
SA_TU_334,Neutral
SA_TU_335,Mixed
SA_TU_336,Neutral
SA_TU_337,Not Tulu
SA_TU_338,Negative
SA_TU_339,Not Tulu
SA_TU_340,Neutral
SA_TU_341,Positive
SA_TU_342,Not Tulu
SA_TU_343,Not Tulu
SA_TU_344,Not Tulu
SA_TU_345,Positive
SA_TU_346,Not Tulu
SA_TU_347,Positive
SA_TU_348,Neutral
SA_TU_349,Positive
SA_TU_350,Not Tulu
SA_TU_351,Positive
SA_TU_352,Positive
SA_TU_353,Not Tulu
SA_TU_354,Not Tulu
SA_TU_355,Negative
SA_TU_356,Positive
SA_TU_357,Not Tulu
SA_TU_358,Negative
SA_TU_359,Not Tulu
SA_TU_360,Not Tulu
SA_TU_361,Positive
SA_TU_362,Positive
SA_TU_363,Not Tulu
SA_TU_364,Positive
SA_TU_365,Positive
SA_TU_366,Not Tulu
SA_TU_367,Not Tulu
SA_TU_368,Mixed
SA_TU_369,Not Tulu
SA_TU_370,Not Tulu
SA_TU_371,Positive
SA_TU_372,Not Tulu
SA_TU_373,Not Tulu
SA_TU_374,Positive
SA_TU_375,Neutral
SA_TU_376,Not Tulu
SA_TU_377,Not Tulu
SA_TU_378,Positive
SA_TU_379,Positive
SA_TU_380,Positive
SA_TU_381,Mixed
SA_TU_382,Not Tulu
SA_TU_383,Not Tulu
SA_TU_384,Not Tulu
SA_TU_385,Not Tulu
SA_TU_386,Positive
SA_TU_387,Not Tulu
SA_TU_388,Neutral
SA_TU_389,Neutral
SA_TU_390,Positive
SA_TU_391,Neutral
SA_TU_392,Neutral
SA_TU_393,Positive
SA_TU_394,Positive
SA_TU_395,Neutral
SA_TU_396,Not Tulu
SA_TU_397,Not Tulu
SA_TU_398,Positive
SA_TU_399,Neutral
SA_TU_400,Not Tulu
SA_TU_401,Positive
SA_TU_402,Negative
SA_TU_403,Neutral
SA_TU_404,Neutral
SA_TU_405,Positive
SA_TU_406,Not Tulu
SA_TU_407,Not Tulu
SA_TU_408,Positive
SA_TU_409,Mixed
SA_TU_410,Positive
SA_TU_411,Positive
SA_TU_412,Neutral
SA_TU_413,Not Tulu
SA_TU_414,Mixed
SA_TU_415,Positive
SA_TU_416,Not Tulu
SA_TU_417,Not Tulu
SA_TU_418,Positive
SA_TU_419,Neutral
SA_TU_420,Positive
SA_TU_421,Positive
SA_TU_422,Not Tulu
SA_TU_423,Positive
SA_TU_424,Not Tulu
SA_TU_425,Neutral
SA_TU_426,Negative
SA_TU_427,Mixed
SA_TU_428,Not Tulu
SA_TU_429,Positive
SA_TU_430,Mixed
SA_TU_431,Not Tulu
SA_TU_432,Neutral
SA_TU_433,Neutral
SA_TU_434,Neutral
SA_TU_435,Negative
SA_TU_436,Positive
SA_TU_437,Not Tulu
SA_TU_438,Not Tulu
SA_TU_439,Mixed
SA_TU_440,Not Tulu
SA_TU_441,Not Tulu
SA_TU_442,Mixed
SA_TU_443,Positive
SA_TU_444,Not Tulu
SA_TU_445,Negative
SA_TU_446,Not Tulu
SA_TU_447,Neutral
SA_TU_448,Neutral
SA_TU_449,Negative
SA_TU_450,Neutral
SA_TU_451,Not Tulu
SA_TU_452,Neutral
SA_TU_453,Not Tulu
SA_TU_454,Not Tulu
SA_TU_455,Negative
SA_TU_456,Not Tulu
SA_TU_457,Positive
SA_TU_458,Mixed
SA_TU_459,Positive
SA_TU_460,Neutral
SA_TU_461,Not Tulu
SA_TU_462,Neutral
SA_TU_463,Neutral
SA_TU_464,Positive
SA_TU_465,Neutral
SA_TU_466,Not Tulu
SA_TU_467,Not Tulu
SA_TU_468,Positive
SA_TU_469,Not Tulu
SA_TU_470,Neutral
SA_TU_471,Neutral
SA_TU_472,Positive
SA_TU_473,Not Tulu
SA_TU_474,Negative
SA_TU_475,Neutral
SA_TU_476,Not Tulu
SA_TU_477,Not Tulu
SA_TU_478,Positive
SA_TU_479,Neutral
SA_TU_480,Not Tulu
SA_TU_481,Positive
SA_TU_482,Not Tulu
SA_TU_483,Not Tulu
SA_TU_484,Not Tulu
SA_TU_485,Neutral
SA_TU_486,Positive
SA_TU_487,Mixed
SA_TU_488,Positive
SA_TU_489,Negative
SA_TU_490,Positive
SA_TU_491,Not Tulu
SA_TU_492,Not Tulu
SA_TU_493,Positive
SA_TU_494,Mixed
SA_TU_495,Positive
SA_TU_496,Negative
SA_TU_497,Positive
SA_TU_498,Not Tulu
SA_TU_499,Negative
SA_TU_500,Mixed
SA_TU_501,Mixed
SA_TU_502,Neutral
SA_TU_503,Not Tulu
SA_TU_504,Negative
SA_TU_505,Not Tulu
SA_TU_506,Mixed
SA_TU_507,Not Tulu
SA_TU_508,Not Tulu
SA_TU_509,Positive
SA_TU_510,Positive
SA_TU_511,Not Tulu
SA_TU_512,Negative
SA_TU_513,Neutral
SA_TU_514,Not Tulu
SA_TU_515,Negative
SA_TU_516,Not Tulu
SA_TU_517,Neutral
SA_TU_518,Neutral
SA_TU_519,Positive
SA_TU_520,Not Tulu
SA_TU_521,Neutral
SA_TU_522,Neutral
SA_TU_523,Not Tulu
SA_TU_524,Mixed
SA_TU_525,Neutral
SA_TU_526,Not Tulu
SA_TU_527,Neutral
SA_TU_528,Neutral
SA_TU_529,Mixed
SA_TU_530,Positive
SA_TU_531,Neutral
SA_TU_532,Positive
SA_TU_533,Negative
SA_TU_534,Neutral
SA_TU_535,Mixed
SA_TU_536,Mixed
SA_TU_537,Neutral
SA_TU_538,Not Tulu
SA_TU_539,Not Tulu
SA_TU_540,Positive
SA_TU_541,Positive
SA_TU_542,Not Tulu
SA_TU_543,Negative
SA_TU_544,Positive
SA_TU_545,Not Tulu
SA_TU_546,Mixed
SA_TU_547,Positive
SA_TU_548,Mixed
SA_TU_549,Positive
SA_TU_550,Neutral
SA_TU_551,Positive
SA_TU_552,Not Tulu
SA_TU_553,Negative
SA_TU_554,Not Tulu
SA_TU_555,Neutral
SA_TU_556,Not Tulu
SA_TU_557,Not Tulu
SA_TU_558,Mixed
SA_TU_559,Neutral
SA_TU_560,Positive
SA_TU_561,Not Tulu
SA_TU_562,Positive
SA_TU_563,Not Tulu
SA_TU_564,Not Tulu
SA_TU_565,Positive
SA_TU_566,Not Tulu
SA_TU_567,Not Tulu
SA_TU_568,Not Tulu
SA_TU_569,Not Tulu
SA_TU_570,Positive
SA_TU_571,Not Tulu
SA_TU_572,Not Tulu
SA_TU_573,Not Tulu
SA_TU_574,Positive
SA_TU_575,Positive
SA_TU_576,Mixed
SA_TU_577,Positive
SA_TU_578,Mixed
SA_TU_579,Positive
SA_TU_580,Neutral
SA_TU_581,Not Tulu
SA_TU_582,Not Tulu
SA_TU_583,Neutral
SA_TU_584,Mixed
SA_TU_585,Not Tulu
SA_TU_586,Not Tulu
SA_TU_587,Not Tulu
SA_TU_588,Not Tulu
SA_TU_589,Negative
SA_TU_590,Neutral
SA_TU_591,Positive
SA_TU_592,Not Tulu
SA_TU_593,Not Tulu
SA_TU_594,Positive
SA_TU_595,Negative
SA_TU_596,Negative
SA_TU_597,Positive
SA_TU_598,Positive
SA_TU_599,Not Tulu
SA_TU_600,Negative
SA_TU_601,Not Tulu
SA_TU_602,Positive
SA_TU_603,Neutral
SA_TU_604,Mixed
SA_TU_605,Positive
SA_TU_606,Not Tulu
SA_TU_607,Negative
SA_TU_608,Mixed
SA_TU_609,Neutral
SA_TU_610,Not Tulu
SA_TU_611,Mixed
SA_TU_612,Not Tulu
SA_TU_613,Negative
SA_TU_614,Mixed
SA_TU_615,Neutral
SA_TU_616,Neutral
SA_TU_617,Positive
SA_TU_618,Positive
SA_TU_619,Neutral
SA_TU_620,Neutral
SA_TU_621,Neutral
SA_TU_622,Neutral
SA_TU_623,Negative
SA_TU_624,Positive
SA_TU_625,Neutral
SA_TU_626,Positive
SA_TU_627,Not Tulu
SA_TU_628,Negative
SA_TU_629,Not Tulu
SA_TU_630,Positive
SA_TU_631,Negative
SA_TU_632,Neutral
SA_TU_633,Positive
SA_TU_634,Positive
SA_TU_635,Positive
SA_TU_636,Not Tulu
SA_TU_637,Neutral
SA_TU_638,Positive
SA_TU_639,Mixed
SA_TU_640,Neutral
SA_TU_641,Not Tulu
SA_TU_642,Not Tulu
SA_TU_643,Not Tulu
SA_TU_644,Positive
SA_TU_645,Neutral
SA_TU_646,Not Tulu
SA_TU_647,Positive
SA_TU_648,Neutral
SA_TU_649,Positive
SA_TU_650,Positive
SA_TU_651,Mixed
SA_TU_652,Not Tulu
SA_TU_653,Positive
SA_TU_654,Not Tulu
SA_TU_655,Positive
SA_TU_656,Mixed
SA_TU_657,Not Tulu
SA_TU_658,Mixed
SA_TU_659,Positive
SA_TU_660,Neutral
SA_TU_661,Not Tulu
SA_TU_662,Negative
SA_TU_663,Not Tulu
SA_TU_664,Positive
SA_TU_665,Not Tulu
SA_TU_666,Not Tulu
SA_TU_667,Mixed
SA_TU_668,Neutral
SA_TU_669,Positive
SA_TU_670,Neutral
SA_TU_671,Neutral
SA_TU_672,Positive
SA_TU_673,Positive
SA_TU_674,Not Tulu
SA_TU_675,Negative
SA_TU_676,Positive
SA_TU_677,Neutral
SA_TU_678,Not Tulu
SA_TU_679,Not Tulu
SA_TU_680,Neutral
SA_TU_681,Not Tulu
SA_TU_682,Negative
SA_TU_683,Positive
SA_TU_684,Not Tulu
SA_TU_685,Not Tulu
SA_TU_686,Negative
SA_TU_687,Mixed
SA_TU_688,Mixed
SA_TU_689,Neutral
SA_TU_690,Mixed
SA_TU_691,Mixed
SA_TU_692,Neutral
SA_TU_693,Not Tulu
SA_TU_694,Neutral
SA_TU_695,Not Tulu
SA_TU_696,Mixed
SA_TU_697,Not Tulu
SA_TU_698,Mixed
SA_TU_699,Positive
SA_TU_700,Neutral
SA_TU_701,Positive
SA_TU_702,Not Tulu
SA_TU_703,Neutral
SA_TU_704,Neutral
SA_TU_705,Mixed
SA_TU_706,Neutral
SA_TU_707,Mixed
SA_TU_708,Not Tulu
SA_TU_709,Positive
SA_TU_710,Not Tulu
SA_TU_711,Mixed
SA_TU_712,Not Tulu
SA_TU_713,Not Tulu
SA_TU_714,Neutral
SA_TU_715,Not Tulu
SA_TU_716,Not Tulu
SA_TU_717,Mixed
SA_TU_718,Not Tulu
SA_TU_719,Neutral
SA_TU_720,Positive
SA_TU_721,Not Tulu
SA_TU_722,Not Tulu
SA_TU_723,Not Tulu
SA_TU_724,Positive
SA_TU_725,Mixed
SA_TU_726,Positive
SA_TU_727,Not Tulu
SA_TU_728,Positive
SA_TU_729,Not Tulu
SA_TU_730,Not Tulu
SA_TU_731,Not Tulu
SA_TU_732,Not Tulu
SA_TU_733,Not Tulu
SA_TU_734,Mixed
SA_TU_735,Neutral
SA_TU_736,Not Tulu
SA_TU_737,Positive
SA_TU_738,Positive
SA_TU_739,Negative
SA_TU_740,Not Tulu
SA_TU_741,Positive
SA_TU_742,Neutral
SA_TU_743,Not Tulu
SA_TU_744,Positive
SA_TU_745,Positive
SA_TU_746,Neutral
SA_TU_747,Not Tulu
SA_TU_748,Not Tulu
SA_TU_749,Positive
SA_TU_750,Positive
SA_TU_751,Not Tulu
SA_TU_752,Positive
SA_TU_753,Positive
SA_TU_754,Positive
SA_TU_755,Not Tulu
SA_TU_756,Negative
SA_TU_757,Not Tulu
SA_TU_758,Not Tulu
SA_TU_759,Neutral
SA_TU_760,Positive
SA_TU_761,Positive
SA_TU_762,Neutral
SA_TU_763,Mixed
SA_TU_764,Mixed
SA_TU_765,Neutral
SA_TU_766,Mixed
SA_TU_767,Not Tulu
SA_TU_768,Positive
SA_TU_769,Mixed
SA_TU_770,Positive
SA_TU_771,Positive
SA_TU_772,Neutral
SA_TU_773,Not Tulu
SA_TU_774,Not Tulu
SA_TU_775,Positive
SA_TU_776,Positive
SA_TU_777,Not Tulu
SA_TU_778,Positive
SA_TU_779,Not Tulu
SA_TU_780,Not Tulu
SA_TU_781,Not Tulu
SA_TU_782,Negative
SA_TU_783,Neutral
SA_TU_784,Mixed
SA_TU_785,Not Tulu
SA_TU_786,Not Tulu
SA_TU_787,Positive
SA_TU_788,Positive
SA_TU_789,Not Tulu
SA_TU_790,Not Tulu
SA_TU_791,Mixed
SA_TU_792,Positive
SA_TU_793,Not Tulu
SA_TU_794,Positive
SA_TU_795,Neutral
SA_TU_796,Mixed
SA_TU_797,Mixed
SA_TU_798,Neutral
SA_TU_799,Not Tulu
SA_TU_800,Not Tulu
SA_TU_801,Positive
SA_TU_802,Positive
SA_TU_803,Positive
SA_TU_804,Neutral
SA_TU_805,Mixed
SA_TU_806,Not Tulu
SA_TU_807,Positive
SA_TU_808,Positive
SA_TU_809,Positive
SA_TU_810,Positive
SA_TU_811,Not Tulu
SA_TU_812,Negative
SA_TU_813,Not Tulu
SA_TU_814,Not Tulu
SA_TU_815,Mixed
SA_TU_816,Mixed
SA_TU_817,Not Tulu
SA_TU_818,Positive
SA_TU_819,Positive
SA_TU_820,Positive
SA_TU_821,Not Tulu
SA_TU_822,Not Tulu
SA_TU_823,Positive
SA_TU_824,Positive
SA_TU_825,Negative
SA_TU_826,Neutral
SA_TU_827,Neutral
SA_TU_828,Positive
SA_TU_829,Positive
SA_TU_830,Positive
SA_TU_831,Mixed
SA_TU_832,Neutral
SA_TU_833,Neutral
SA_TU_834,Neutral
SA_TU_835,Positive
SA_TU_836,Not Tulu
SA_TU_837,Positive
SA_TU_838,Positive
SA_TU_839,Positive
SA_TU_840,Not Tulu
SA_TU_841,Neutral
SA_TU_842,Neutral
SA_TU_843,Not Tulu
SA_TU_844,Positive
SA_TU_845,Positive
SA_TU_846,Mixed
SA_TU_847,Negative
SA_TU_848,Not Tulu
SA_TU_849,Neutral
SA_TU_850,Not Tulu
SA_TU_851,Mixed
SA_TU_852,Neutral
SA_TU_853,Not Tulu
SA_TU_854,Not Tulu
SA_TU_855,Positive
SA_TU_856,Not Tulu
SA_TU_857,Neutral
SA_TU_858,Not Tulu
SA_TU_859,Neutral
SA_TU_860,Neutral
SA_TU_861,Mixed
SA_TU_862,Not Tulu
SA_TU_863,Not Tulu
SA_TU_864,Mixed
SA_TU_865,Positive
SA_TU_866,Not Tulu
SA_TU_867,Neutral
SA_TU_868,Negative
SA_TU_869,Mixed
SA_TU_870,Not Tulu
SA_TU_871,Not Tulu
SA_TU_872,Neutral
SA_TU_873,Not Tulu
SA_TU_874,Positive
SA_TU_875,Positive
SA_TU_876,Neutral
SA_TU_877,Neutral
SA_TU_878,Not Tulu
SA_TU_879,Positive
SA_TU_880,Mixed
SA_TU_881,Negative
SA_TU_882,Positive
SA_TU_883,Negative
SA_TU_884,Neutral
SA_TU_885,Not Tulu
SA_TU_886,Positive
SA_TU_887,Neutral
SA_TU_888,Positive
SA_TU_889,Mixed
SA_TU_890,Mixed
SA_TU_891,Not Tulu
SA_TU_892,Neutral
SA_TU_893,Not Tulu
SA_TU_894,Not Tulu
SA_TU_895,Neutral
SA_TU_896,Positive
SA_TU_897,Negative
SA_TU_898,Mixed
SA_TU_899,Positive
SA_TU_900,Neutral
SA_TU_901,Not Tulu
SA_TU_902,Negative
SA_TU_903,Positive
SA_TU_904,Positive
SA_TU_905,Not Tulu
SA_TU_906,Negative
SA_TU_907,Negative
SA_TU_908,Neutral
SA_TU_909,Neutral
SA_TU_910,Neutral
SA_TU_911,Neutral
SA_TU_912,Not Tulu
SA_TU_913,Not Tulu
SA_TU_914,Not Tulu
SA_TU_915,Not Tulu
SA_TU_916,Neutral
SA_TU_917,Positive
SA_TU_918,Not Tulu
SA_TU_919,Neutral
SA_TU_920,Mixed
SA_TU_921,Positive
SA_TU_922,Positive
SA_TU_923,Negative
SA_TU_924,Not Tulu
SA_TU_925,Not Tulu
SA_TU_926,Neutral
SA_TU_927,Not Tulu
SA_TU_928,Not Tulu
SA_TU_929,Positive
SA_TU_930,Neutral
SA_TU_931,Not Tulu
SA_TU_932,Positive
SA_TU_933,Not Tulu
SA_TU_934,Neutral
SA_TU_935,Positive
SA_TU_936,Not Tulu
SA_TU_937,Not Tulu
SA_TU_938,Not Tulu
SA_TU_939,Negative
SA_TU_940,Positive
SA_TU_941,Positive
SA_TU_942,Neutral
SA_TU_943,Positive
SA_TU_944,Neutral
SA_TU_945,Not Tulu
SA_TU_946,Mixed
SA_TU_947,Negative
SA_TU_948,Mixed
SA_TU_949,Neutral
SA_TU_950,Positive
SA_TU_951,Negative
SA_TU_952,Mixed
SA_TU_953,Not Tulu
SA_TU_954,Not Tulu
SA_TU_955,Positive
SA_TU_956,Positive
SA_TU_957,Not Tulu
SA_TU_958,Positive
SA_TU_959,Neutral
SA_TU_960,Neutral
SA_TU_961,Positive
SA_TU_962,Neutral
SA_TU_963,Neutral
SA_TU_964,Neutral
SA_TU_965,Not Tulu
SA_TU_966,Positive
SA_TU_967,Neutral
SA_TU_968,Neutral
SA_TU_969,Not Tulu
SA_TU_970,Not Tulu
SA_TU_971,Positive
SA_TU_972,Neutral
SA_TU_973,Mixed
SA_TU_974,Mixed
SA_TU_975,Not Tulu
SA_TU_976,Neutral
SA_TU_977,Neutral
SA_TU_978,Mixed
SA_TU_979,Neutral
SA_TU_980,Not Tulu
SA_TU_981,Not Tulu
SA_TU_982,Neutral
SA_TU_983,Mixed
SA_TU_984,Mixed
SA_TU_985,Neutral
SA_TU_986,Not Tulu
SA_TU_987,Positive
SA_TU_988,Positive
SA_TU_989,Not Tulu
SA_TU_990,Not Tulu
SA_TU_991,Not Tulu
SA_TU_992,Negative
SA_TU_993,Not Tulu
SA_TU_994,Neutral
SA_TU_995,Not Tulu
SA_TU_996,Neutral
SA_TU_997,Neutral
SA_TU_998,Not Tulu
SA_TU_999,Neutral
SA_TU_1000,Not Tulu
SA_TU_1001,Mixed
SA_TU_1002,Not Tulu
SA_TU_1003,Not Tulu
SA_TU_1004,Neutral
SA_TU_1005,Positive
SA_TU_1006,Positive
SA_TU_1007,Neutral
SA_TU_1008,Positive
SA_TU_1009,Negative
SA_TU_1010,Neutral
SA_TU_1011,Negative
SA_TU_1012,Not Tulu
SA_TU_1013,Positive
SA_TU_1014,Mixed
SA_TU_1015,Mixed
SA_TU_1016,Not Tulu
SA_TU_1017,Neutral
SA_TU_1018,Mixed
SA_TU_1019,Neutral
SA_TU_1020,Not Tulu
SA_TU_1021,Positive
SA_TU_1022,Positive
SA_TU_1023,Neutral
SA_TU_1024,Not Tulu
SA_TU_1025,Not Tulu
SA_TU_1026,Mixed
SA_TU_1027,Positive
SA_TU_1028,Not Tulu
SA_TU_1029,Not Tulu
SA_TU_1030,Positive
SA_TU_1031,Positive
SA_TU_1032,Neutral
SA_TU_1033,Neutral
SA_TU_1034,Positive
SA_TU_1035,Positive
SA_TU_1036,Neutral
SA_TU_1037,Not Tulu
SA_TU_1038,Positive
SA_TU_1039,Neutral
SA_TU_1040,Neutral
SA_TU_1041,Positive
SA_TU_1042,Positive
SA_TU_1043,Positive
