Id,Labels
SA_Ta_252,Positive
SA_Ta_253,Mixed_feelings
SA_Ta_254,Negative
SA_Ta_255,unknown_state
SA_Ta_256,Positive
SA_Ta_257,Negative
SA_Ta_258,unknown_state
SA_Ta_259,unknown_state
SA_Ta_260,Positive
SA_Ta_261,Mixed_feelings
SA_Ta_262,Negative
SA_Ta_263,Positive
SA_Ta_264,unknown_state
SA_Ta_265,Positive
SA_Ta_266,Positive
SA_Ta_267,Positive
SA_Ta_268,Mixed_feelings
SA_Ta_269,Mixed_feelings
SA_Ta_270,Negative
SA_Ta_271,unknown_state
SA_Ta_272,Mixed_feelings
SA_Ta_273,unknown_state
SA_Ta_274,unknown_state
SA_Ta_275,unknown_state
SA_Ta_276,Positive
SA_Ta_277,Positive
SA_Ta_278,Mixed_feelings
SA_Ta_279,Positive
SA_Ta_280,unknown_state
SA_Ta_281,unknown_state
SA_Ta_282,Positive
SA_Ta_283,Mixed_feelings
SA_Ta_284,Positive
SA_Ta_285,Negative
SA_Ta_286,Positive
SA_Ta_287,Mixed_feelings
SA_Ta_288,Positive
SA_Ta_289,Negative
SA_Ta_290,Positive
SA_Ta_291,Positive
SA_Ta_292,unknown_state
SA_Ta_293,unknown_state
SA_Ta_294,Positive
SA_Ta_295,Mixed_feelings
SA_Ta_296,Positive
SA_Ta_297,Positive
SA_Ta_298,unknown_state
SA_Ta_299,Positive
SA_Ta_300,unknown_state
SA_Ta_301,Negative
SA_Ta_302,Negative
SA_Ta_303,Negative
SA_Ta_304,unknown_state
SA_Ta_305,Mixed_feelings
SA_Ta_306,Positive
SA_Ta_307,Positive
SA_Ta_308,Positive
SA_Ta_309,Negative
SA_Ta_310,unknown_state
SA_Ta_311,Mixed_feelings
SA_Ta_312,Positive
SA_Ta_313,Positive
SA_Ta_314,Mixed_feelings
SA_Ta_315,Mixed_feelings
SA_Ta_316,Positive
SA_Ta_317,Mixed_feelings
SA_Ta_318,Mixed_feelings
SA_Ta_319,unknown_state
SA_Ta_320,Positive
SA_Ta_321,Positive
SA_Ta_322,unknown_state
SA_Ta_323,Positive
SA_Ta_324,unknown_state
SA_Ta_325,Mixed_feelings
SA_Ta_326,Mixed_feelings
SA_Ta_327,Mixed_feelings
SA_Ta_328,unknown_state
SA_Ta_329,Negative
SA_Ta_330,Positive
SA_Ta_331,unknown_state
SA_Ta_332,Mixed_feelings
SA_Ta_333,unknown_state
SA_Ta_334,Negative
SA_Ta_335,Mixed_feelings
SA_Ta_336,Mixed_feelings
SA_Ta_337,unknown_state
SA_Ta_338,Negative
SA_Ta_339,Positive
SA_Ta_340,Positive
SA_Ta_341,Mixed_feelings
SA_Ta_342,unknown_state
SA_Ta_343,Negative
SA_Ta_344,Mixed_feelings
SA_Ta_345,Positive
SA_Ta_346,Mixed_feelings
SA_Ta_347,Positive
SA_Ta_348,Mixed_feelings
SA_Ta_349,Positive
SA_Ta_350,Negative
SA_Ta_351,Negative
SA_Ta_352,Positive
SA_Ta_353,unknown_state
SA_Ta_354,Positive
SA_Ta_355,Positive
SA_Ta_356,unknown_state
SA_Ta_357,Positive
SA_Ta_358,Positive
SA_Ta_359,Mixed_feelings
SA_Ta_360,Positive
SA_Ta_361,Positive
SA_Ta_362,Positive
SA_Ta_363,unknown_state
SA_Ta_364,unknown_state
SA_Ta_365,unknown_state
SA_Ta_366,Mixed_feelings
SA_Ta_367,Mixed_feelings
SA_Ta_368,Negative
SA_Ta_369,Positive
SA_Ta_370,Positive
SA_Ta_371,Positive
SA_Ta_372,Negative
SA_Ta_373,Positive
SA_Ta_374,Positive
SA_Ta_375,Negative
SA_Ta_376,unknown_state
SA_Ta_377,Positive
SA_Ta_378,Positive
SA_Ta_379,unknown_state
SA_Ta_380,Negative
SA_Ta_381,Positive
SA_Ta_382,Mixed_feelings
SA_Ta_383,unknown_state
SA_Ta_384,Positive
SA_Ta_385,Mixed_feelings
SA_Ta_386,Mixed_feelings
SA_Ta_387,Positive
SA_Ta_388,unknown_state
SA_Ta_389,unknown_state
SA_Ta_390,Positive
SA_Ta_391,Positive
SA_Ta_392,Negative
SA_Ta_393,Mixed_feelings
SA_Ta_394,unknown_state
SA_Ta_395,Mixed_feelings
SA_Ta_396,unknown_state
SA_Ta_397,unknown_state
SA_Ta_398,Negative
SA_Ta_399,unknown_state
SA_Ta_400,Positive
SA_Ta_401,Positive
SA_Ta_402,Negative
SA_Ta_403,Positive
SA_Ta_404,Mixed_feelings
SA_Ta_405,Negative
SA_Ta_406,Positive
SA_Ta_407,Mixed_feelings
SA_Ta_408,Mixed_feelings
SA_Ta_409,unknown_state
SA_Ta_410,Positive
SA_Ta_411,Positive
SA_Ta_412,unknown_state
SA_Ta_413,Positive
SA_Ta_414,unknown_state
SA_Ta_415,unknown_state
SA_Ta_416,unknown_state
SA_Ta_417,Mixed_feelings
SA_Ta_418,Positive
SA_Ta_419,Positive
SA_Ta_420,Positive
SA_Ta_421,Negative
SA_Ta_422,Negative
SA_Ta_423,Positive
SA_Ta_424,Mixed_feelings
SA_Ta_425,unknown_state
SA_Ta_426,Positive
SA_Ta_427,Positive
SA_Ta_428,Negative
SA_Ta_429,Negative
SA_Ta_430,unknown_state
SA_Ta_431,Negative
SA_Ta_432,Mixed_feelings
SA_Ta_433,Positive
SA_Ta_434,Negative
SA_Ta_435,unknown_state
SA_Ta_436,Positive
SA_Ta_437,Negative
SA_Ta_438,unknown_state
SA_Ta_439,Negative
SA_Ta_440,Mixed_feelings
SA_Ta_441,Positive
SA_Ta_442,Positive
SA_Ta_443,Mixed_feelings
SA_Ta_444,unknown_state
SA_Ta_445,unknown_state
SA_Ta_446,Mixed_feelings
SA_Ta_447,Mixed_feelings
SA_Ta_448,Positive
SA_Ta_449,Positive
SA_Ta_450,Negative
SA_Ta_451,Negative
SA_Ta_452,Positive
SA_Ta_453,Mixed_feelings
SA_Ta_454,Positive
SA_Ta_455,Negative
SA_Ta_456,Mixed_feelings
SA_Ta_457,Positive
SA_Ta_458,Positive
SA_Ta_459,Positive
SA_Ta_460,Positive
SA_Ta_461,unknown_state
SA_Ta_462,Mixed_feelings
SA_Ta_463,Mixed_feelings
SA_Ta_464,Mixed_feelings
SA_Ta_465,unknown_state
SA_Ta_466,Negative
SA_Ta_467,unknown_state
SA_Ta_468,Positive
SA_Ta_469,unknown_state
SA_Ta_470,unknown_state
SA_Ta_471,Positive
SA_Ta_472,Positive
SA_Ta_473,unknown_state
SA_Ta_474,Positive
SA_Ta_475,unknown_state
SA_Ta_476,unknown_state
SA_Ta_477,unknown_state
SA_Ta_478,Positive
SA_Ta_479,Negative
SA_Ta_480,Mixed_feelings
SA_Ta_481,Mixed_feelings
SA_Ta_482,Mixed_feelings
SA_Ta_483,Positive
SA_Ta_484,Positive
SA_Ta_485,unknown_state
SA_Ta_486,Positive
SA_Ta_487,Positive
SA_Ta_488,Positive
SA_Ta_489,Mixed_feelings
SA_Ta_490,Negative
SA_Ta_491,Negative
SA_Ta_492,Mixed_feelings
SA_Ta_493,Positive
SA_Ta_494,unknown_state
SA_Ta_495,Positive
SA_Ta_496,Positive
SA_Ta_497,unknown_state
SA_Ta_498,unknown_state
SA_Ta_499,Positive
SA_Ta_500,unknown_state
SA_Ta_501,Negative
SA_Ta_502,unknown_state
SA_Ta_503,Positive
SA_Ta_504,Mixed_feelings
SA_Ta_505,Negative
SA_Ta_506,Positive
SA_Ta_507,Negative
SA_Ta_508,Mixed_feelings
SA_Ta_509,Positive
SA_Ta_510,Negative
SA_Ta_511,unknown_state
SA_Ta_512,unknown_state
SA_Ta_513,Mixed_feelings
SA_Ta_514,Negative
SA_Ta_515,Mixed_feelings
SA_Ta_516,Mixed_feelings
SA_Ta_517,Negative
SA_Ta_518,Positive
SA_Ta_519,Mixed_feelings
SA_Ta_520,unknown_state
SA_Ta_521,Positive
SA_Ta_522,unknown_state
SA_Ta_523,Negative
SA_Ta_524,Positive
SA_Ta_525,Negative
SA_Ta_526,Mixed_feelings
SA_Ta_527,Positive
SA_Ta_528,unknown_state
SA_Ta_529,Positive
SA_Ta_530,unknown_state
SA_Ta_531,Positive
SA_Ta_532,Negative
SA_Ta_533,Negative
SA_Ta_534,Mixed_feelings
SA_Ta_535,Mixed_feelings
SA_Ta_536,Positive
SA_Ta_537,Negative
SA_Ta_538,Positive
SA_Ta_539,Negative
SA_Ta_540,Positive
SA_Ta_541,Positive
SA_Ta_542,Negative
SA_Ta_543,Mixed_feelings
SA_Ta_544,Mixed_feelings
SA_Ta_545,Mixed_feelings
SA_Ta_546,Positive
SA_Ta_547,Positive
SA_Ta_548,Positive
SA_Ta_549,Negative
SA_Ta_550,Negative
SA_Ta_551,Positive
SA_Ta_552,Positive
SA_Ta_553,unknown_state
SA_Ta_554,Mixed_feelings
SA_Ta_555,Positive
SA_Ta_556,Negative
SA_Ta_557,Positive
SA_Ta_558,Mixed_feelings
SA_Ta_559,Positive
SA_Ta_560,unknown_state
SA_Ta_561,Positive
SA_Ta_562,Positive
SA_Ta_563,Mixed_feelings
SA_Ta_564,Positive
SA_Ta_565,Positive
SA_Ta_566,Mixed_feelings
SA_Ta_567,Positive
SA_Ta_568,Mixed_feelings
SA_Ta_569,Positive
SA_Ta_570,Negative
SA_Ta_571,Positive
SA_Ta_572,Positive
SA_Ta_573,Positive
SA_Ta_574,Negative
SA_Ta_575,Positive
SA_Ta_576,Mixed_feelings
SA_Ta_577,Positive
SA_Ta_578,Positive
SA_Ta_579,Positive
SA_Ta_580,unknown_state
SA_Ta_581,Mixed_feelings
SA_Ta_582,unknown_state
SA_Ta_583,Positive
SA_Ta_584,Positive
SA_Ta_585,unknown_state
SA_Ta_586,Positive
SA_Ta_587,unknown_state
SA_Ta_588,Positive
SA_Ta_589,Positive
SA_Ta_590,Negative
SA_Ta_591,unknown_state
SA_Ta_592,Negative
SA_Ta_593,Negative
SA_Ta_594,Negative
SA_Ta_595,Negative
SA_Ta_596,Mixed_feelings
SA_Ta_597,Negative
SA_Ta_598,Positive
SA_Ta_599,Positive
SA_Ta_600,unknown_state
SA_Ta_601,Positive
SA_Ta_602,Negative
SA_Ta_603,Mixed_feelings
SA_Ta_604,Mixed_feelings
SA_Ta_605,Mixed_feelings
SA_Ta_606,Mixed_feelings
SA_Ta_607,Positive
SA_Ta_608,Mixed_feelings
SA_Ta_609,Negative
SA_Ta_610,Mixed_feelings
SA_Ta_611,Positive
SA_Ta_612,Positive
SA_Ta_613,Negative
SA_Ta_614,Mixed_feelings
SA_Ta_615,Positive
SA_Ta_616,Mixed_feelings
SA_Ta_617,unknown_state
SA_Ta_618,Positive
SA_Ta_619,unknown_state
SA_Ta_620,Positive
SA_Ta_621,Negative
SA_Ta_622,Mixed_feelings
SA_Ta_623,Positive
SA_Ta_624,unknown_state
SA_Ta_625,Positive
SA_Ta_626,unknown_state
SA_Ta_627,Positive
SA_Ta_628,Mixed_feelings
SA_Ta_629,unknown_state
SA_Ta_630,Negative
SA_Ta_631,unknown_state
SA_Ta_632,Negative
SA_Ta_633,Negative
SA_Ta_634,Mixed_feelings
SA_Ta_635,Positive
SA_Ta_636,Positive
SA_Ta_637,Positive
SA_Ta_638,Mixed_feelings
SA_Ta_639,Positive
SA_Ta_640,Positive
SA_Ta_641,Positive
SA_Ta_642,unknown_state
SA_Ta_643,Positive
SA_Ta_644,Positive
SA_Ta_645,Positive
SA_Ta_646,unknown_state
SA_Ta_647,Positive
SA_Ta_648,unknown_state
SA_Ta_649,Positive
SA_Ta_650,Negative
SA_Ta_651,Mixed_feelings
SA_Ta_652,Mixed_feelings
SA_Ta_653,unknown_state
SA_Ta_654,unknown_state
SA_Ta_655,Mixed_feelings
SA_Ta_656,Negative
SA_Ta_657,unknown_state
SA_Ta_658,Positive
SA_Ta_659,unknown_state
SA_Ta_660,Mixed_feelings
SA_Ta_661,unknown_state
SA_Ta_662,Mixed_feelings
SA_Ta_663,Positive
SA_Ta_664,Negative
SA_Ta_665,unknown_state
SA_Ta_666,Positive
SA_Ta_667,unknown_state
SA_Ta_668,Positive
SA_Ta_669,Positive
SA_Ta_670,Mixed_feelings
SA_Ta_671,Positive
SA_Ta_672,Positive
SA_Ta_673,Negative
SA_Ta_674,Mixed_feelings
SA_Ta_675,Mixed_feelings
SA_Ta_676,Negative
SA_Ta_677,Positive
SA_Ta_678,Positive
SA_Ta_679,Mixed_feelings
SA_Ta_680,Positive
SA_Ta_681,Positive
SA_Ta_682,Negative
SA_Ta_683,Positive
SA_Ta_684,Positive
SA_Ta_685,Positive
SA_Ta_686,Positive
SA_Ta_687,Positive
SA_Ta_688,Negative
SA_Ta_689,Negative
SA_Ta_690,Negative
SA_Ta_691,Positive
SA_Ta_692,Positive
SA_Ta_693,Positive
SA_Ta_694,Positive
SA_Ta_695,Positive
SA_Ta_696,unknown_state
SA_Ta_697,unknown_state
SA_Ta_698,Positive
SA_Ta_699,Negative
SA_Ta_700,Positive
SA_Ta_701,Positive
SA_Ta_702,Mixed_feelings
SA_Ta_703,Positive
SA_Ta_704,Positive
SA_Ta_705,unknown_state
SA_Ta_706,Negative
SA_Ta_707,Positive
SA_Ta_708,Negative
SA_Ta_709,unknown_state
SA_Ta_710,Negative
SA_Ta_711,Mixed_feelings
SA_Ta_712,Positive
SA_Ta_713,Negative
SA_Ta_714,Mixed_feelings
SA_Ta_715,unknown_state
SA_Ta_716,Positive
SA_Ta_717,unknown_state
SA_Ta_718,Mixed_feelings
SA_Ta_719,unknown_state
SA_Ta_720,Negative
SA_Ta_721,unknown_state
SA_Ta_722,Positive
SA_Ta_723,unknown_state
SA_Ta_724,Positive
SA_Ta_725,Positive
SA_Ta_726,Mixed_feelings
SA_Ta_727,Positive
SA_Ta_728,Negative
SA_Ta_729,Positive
SA_Ta_730,Mixed_feelings
SA_Ta_731,Positive
SA_Ta_732,Negative
SA_Ta_733,Negative
SA_Ta_734,Mixed_feelings
SA_Ta_735,Negative
SA_Ta_736,Positive
SA_Ta_737,Positive
SA_Ta_738,Positive
SA_Ta_739,Negative
SA_Ta_740,Positive
SA_Ta_741,Negative
SA_Ta_742,Mixed_feelings
SA_Ta_743,unknown_state
SA_Ta_744,Positive
SA_Ta_745,Negative
SA_Ta_746,unknown_state
SA_Ta_747,unknown_state
SA_Ta_748,unknown_state
SA_Ta_749,Mixed_feelings
SA_Ta_750,Mixed_feelings
SA_Ta_751,Positive
SA_Ta_752,Mixed_feelings
SA_Ta_753,Negative
SA_Ta_754,unknown_state
SA_Ta_755,unknown_state
SA_Ta_756,Mixed_feelings
SA_Ta_757,Positive
SA_Ta_758,Mixed_feelings
SA_Ta_759,Negative
SA_Ta_760,Negative
SA_Ta_761,Positive
SA_Ta_762,Positive
SA_Ta_763,Negative
SA_Ta_764,Positive
SA_Ta_765,Positive
SA_Ta_766,Positive
SA_Ta_767,Positive
SA_Ta_768,Positive
SA_Ta_769,Positive
SA_Ta_770,Mixed_feelings
SA_Ta_771,Positive
SA_Ta_772,unknown_state
SA_Ta_773,unknown_state
SA_Ta_774,Positive
SA_Ta_775,Mixed_feelings
SA_Ta_776,unknown_state
SA_Ta_777,Positive
SA_Ta_778,unknown_state
SA_Ta_779,Positive
SA_Ta_780,Mixed_feelings
SA_Ta_781,Negative
SA_Ta_782,Positive
SA_Ta_783,Mixed_feelings
SA_Ta_784,Positive
SA_Ta_785,unknown_state
SA_Ta_786,Negative
SA_Ta_787,Mixed_feelings
SA_Ta_788,Positive
SA_Ta_789,Positive
SA_Ta_790,Positive
SA_Ta_791,Mixed_feelings
SA_Ta_792,Mixed_feelings
SA_Ta_793,Positive
SA_Ta_794,unknown_state
SA_Ta_795,Positive
SA_Ta_796,Negative
SA_Ta_797,unknown_state
SA_Ta_798,Mixed_feelings
SA_Ta_799,Positive
SA_Ta_800,Positive
SA_Ta_801,Mixed_feelings
SA_Ta_802,Negative
SA_Ta_803,unknown_state
SA_Ta_804,Negative
SA_Ta_805,Mixed_feelings
SA_Ta_806,Positive
SA_Ta_807,Mixed_feelings
SA_Ta_808,unknown_state
SA_Ta_809,Positive
SA_Ta_810,Negative
SA_Ta_811,Positive
SA_Ta_812,Mixed_feelings
SA_Ta_813,unknown_state
SA_Ta_814,Positive
SA_Ta_815,Negative
SA_Ta_816,Mixed_feelings
SA_Ta_817,Positive
SA_Ta_818,Positive
SA_Ta_819,Negative
SA_Ta_820,Positive
SA_Ta_821,Positive
SA_Ta_822,Positive
SA_Ta_823,Mixed_feelings
SA_Ta_824,Negative
SA_Ta_825,Negative
SA_Ta_826,Mixed_feelings
SA_Ta_827,Mixed_feelings
SA_Ta_828,Positive
SA_Ta_829,Mixed_feelings
SA_Ta_830,unknown_state
SA_Ta_831,Mixed_feelings
SA_Ta_832,Mixed_feelings
SA_Ta_833,Negative
SA_Ta_834,Negative
SA_Ta_835,Positive
SA_Ta_836,Positive
SA_Ta_837,Mixed_feelings
SA_Ta_838,Positive
SA_Ta_839,unknown_state
SA_Ta_840,Negative
SA_Ta_841,Negative
SA_Ta_842,Positive
SA_Ta_843,Positive
SA_Ta_844,Positive
SA_Ta_845,unknown_state
SA_Ta_846,Positive
SA_Ta_847,unknown_state
SA_Ta_848,Positive
SA_Ta_849,Mixed_feelings
SA_Ta_850,unknown_state
SA_Ta_851,Negative
SA_Ta_852,Mixed_feelings
SA_Ta_853,unknown_state
SA_Ta_854,unknown_state
SA_Ta_855,Positive
SA_Ta_856,unknown_state
SA_Ta_857,Mixed_feelings
SA_Ta_858,unknown_state
SA_Ta_859,Positive
SA_Ta_860,Negative
SA_Ta_861,Mixed_feelings
SA_Ta_862,Positive
SA_Ta_863,Positive
SA_Ta_864,Positive
SA_Ta_865,unknown_state
SA_Ta_866,Mixed_feelings
SA_Ta_867,Mixed_feelings
SA_Ta_868,unknown_state
SA_Ta_869,unknown_state
SA_Ta_870,Positive
SA_Ta_871,Mixed_feelings
SA_Ta_872,Mixed_feelings
SA_Ta_873,Positive
SA_Ta_874,unknown_state
SA_Ta_875,Positive
SA_Ta_876,unknown_state
SA_Ta_877,Positive
SA_Ta_878,unknown_state
SA_Ta_879,unknown_state
SA_Ta_880,Negative
SA_Ta_881,Negative
SA_Ta_882,Positive
SA_Ta_883,unknown_state
SA_Ta_884,Positive
SA_Ta_885,unknown_state
SA_Ta_886,unknown_state
SA_Ta_887,Positive
SA_Ta_888,Negative
SA_Ta_889,Positive
SA_Ta_890,Negative
SA_Ta_891,Positive
SA_Ta_892,Positive
SA_Ta_893,Positive
SA_Ta_894,Negative
SA_Ta_895,Positive
SA_Ta_896,Negative
SA_Ta_897,Positive
SA_Ta_898,Negative
SA_Ta_899,Mixed_feelings
SA_Ta_900,Positive
SA_Ta_901,unknown_state
SA_Ta_902,Positive
SA_Ta_903,unknown_state
SA_Ta_904,Positive
SA_Ta_905,unknown_state
SA_Ta_906,Positive
SA_Ta_907,Mixed_feelings
SA_Ta_908,Mixed_feelings
SA_Ta_909,Negative
SA_Ta_910,Positive
SA_Ta_911,Mixed_feelings
SA_Ta_912,Mixed_feelings
SA_Ta_913,unknown_state
SA_Ta_914,unknown_state
SA_Ta_915,Positive
SA_Ta_916,Mixed_feelings
SA_Ta_917,Negative
SA_Ta_918,Positive
SA_Ta_919,unknown_state
SA_Ta_920,Negative
SA_Ta_921,Mixed_feelings
SA_Ta_922,unknown_state
SA_Ta_923,Mixed_feelings
SA_Ta_924,Negative
SA_Ta_925,Positive
SA_Ta_926,Negative
SA_Ta_927,Negative
SA_Ta_928,Positive
SA_Ta_929,Mixed_feelings
SA_Ta_930,Positive
SA_Ta_931,Positive
SA_Ta_932,Mixed_feelings
SA_Ta_933,Mixed_feelings
SA_Ta_934,Positive
SA_Ta_935,Mixed_feelings
SA_Ta_936,unknown_state
SA_Ta_937,Negative
SA_Ta_938,Negative
SA_Ta_939,Positive
SA_Ta_940,Positive
SA_Ta_941,unknown_state
SA_Ta_942,Mixed_feelings
SA_Ta_943,unknown_state
SA_Ta_944,Negative
SA_Ta_945,Mixed_feelings
SA_Ta_946,Positive
SA_Ta_947,Mixed_feelings
SA_Ta_948,Mixed_feelings
SA_Ta_949,unknown_state
SA_Ta_950,Positive
SA_Ta_951,Positive
SA_Ta_952,Positive
SA_Ta_953,Positive
SA_Ta_954,Mixed_feelings
SA_Ta_955,Positive
SA_Ta_956,unknown_state
SA_Ta_957,Positive
SA_Ta_958,Mixed_feelings
SA_Ta_959,unknown_state
SA_Ta_960,Negative
SA_Ta_961,Positive
SA_Ta_962,Negative
SA_Ta_963,Mixed_feelings
SA_Ta_964,Positive
SA_Ta_965,Mixed_feelings
